book_name,book_price
A Light in the Attic,£51.77
Tipping the Velvet,£53.74
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60
Sharp Objects,£47.82
The Dirty Little Secrets of Getting Your Dream Job,£33.34
Sapiens: A Brief History of Humankind,£54.23
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93
The Requiem Red,£22.65
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99
Shakespeare's Sonnets,£20.66
The Black Maria,£52.15
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29
Set Me Free,£17.46
Rip it Up and Start Again,£35.02
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25
It's Only the Himalayas,£45.17
Libertarianism for Beginners,£51.33
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59
Olio,£23.88
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52
Chase Me (Paris Nights #2),£25.27
Black Dust,£34.53
Birdsong: A Story in Pictures,£54.64
Soumission,£50.10
How Music Works,£37.32
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50
Aladdin and His Wonderful Lamp,£53.13
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30
Wall and Piece,£44.18
The Four Agreements: A Practical Guide to Personal Freedom,£17.66
In Her Wake,£12.84
The Bear and the Piano,£36.89
The Elephant Tree,£23.82
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05
Sophie's World,£15.94
You can't bury them all: Poems,£33.63
Behind Closed Doors,£52.22
"In a Dark, Dark Wood",£19.63
Penny Maybe,£33.29
Maude (1883-1993):She Grew Up with the country,£18.02
This Is Your Brain on Music: The Science of a Human Obsession,£38.40
Algorithms to Live By: The Computer Science of Human Decisions,£30.81
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",£12.36
No One Here Gets Out Alive,£20.02
The Power of Now: A Guide to Spiritual Enlightenment,£43.54
Shtum,£55.84
Eligible (The Austen Project #4),£27.09
Catherine the Great: Portrait of a Woman,£58.55
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71
Rework,£44.88
Leave This Song Behind: Teen Poetry at Its Best,£51.17
You Are What You Love: The Spiritual Power of Habit,£21.87
Louisa: The Extraordinary Life of Mrs. Adams,£16.85
Far From True (Promise Falls Trilogy #2),£34.93
A Summer In Europe,£44.34
The Great Railway Bazaar,£30.54
